Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,126.2,-88.0,90.0,top
C2,100n,C_0402_1005Metric,128.8,-100.5,0.0,top
C3,100n,C_0402_1005Metric,130.8,-100.5,180.0,top
J1,Conn_01x04,PinHeader_1x04_P2.00mm_Vertical,128.0,-79.0,0.0,top
R1,1.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.0,-115.6,0.0,top
R2,1.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.0,-104.0,180.0,top
R5,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.5,-102.9,0.0,top
R6,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.5,-101.3,180.0,top
R7,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.5,-98.1,0.0,top
R8,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.5,-99.7,180.0,top
SW1,C_left,SW-TH_L6.2-W6.2-P5.00,136.37,-117.54,180.0,top
SW2,C_up,SW-TH_L6.2-W6.2-P5.00,129.04,-110.22,-90.0,top
SW3,C_down,SW-TH_L6.2-W6.2-P5.00,143.7,-110.21,90.0,top
SW4,C_right,SW-TH_L6.2-W6.2-P5.00,136.37,-102.88,0.0,top
